,ÀÌ¸§,ÆÀ,ÃâÀå,¿ÏÅõ,¿ÏºÀ,¼±¹ß,½Â,ÆÐ,¼¼ÀÌºê,È¦µå,ÀÌ´×,½ÇÁ¡,ÀÚÃ¥,Å¸ÀÚ,ÇÇ¾ÈÅ¸,ÇÇ2·ç,ÇÇ3·ç,ÇÇÈ¨·±,º¼³Ý,°íÀÇ»ç±¸,»ç±¸,Å»»ïÁø,º¸Å©,ÆøÅõ,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,birth,pid
175,°¡ºô¸®¿À,21S,15,0,0,15,6,4,0,0,81.1,54,53,351,88,18,0,7,30,1,6,70,0,3,5.86,4.02,1.45,76.5,113.0,0.02,-0.68,1990-05-22,20000
229,°­°æÇÐ,21ÇÑ,1,0,0,0,0,0,0,0,0.2,4,4,8,3,1,0,0,2,0,1,0,0,0,54.00,16.83,7.50,8.1,26.6,-0.14,0.00,1992-08-11,20001
274,°­µ¿¿¬,21N,12,0,0,3,3,2,0,1,23.0,21,20,109,25,4,1,4,14,0,0,14,0,3,7.83,6.20,1.70,58.0,73.1,-0.37,-1.28,1992-12-18,20002
184,°­µ¿È£,21·Ô,1,0,0,0,0,0,0,0,1.1,1,1,7,1,1,0,0,1,0,1,1,0,1,6.75,6.33,1.50,67.3,70.8,0.00,0.00,1994-04-21,20003
271,°­À±±¸,21N·Ô,22,0,0,1,0,1,0,3,16.0,15,15,79,21,4,0,3,14,1,1,15,0,0,8.44,6.52,2.19,53.9,68.6,-0.33,-0.91,1990-07-10,20004
18,°­Àç¹Î,21ÇÑ,58,0,0,0,2,1,5,13,63.1,16,15,269,51,13,0,2,26,3,5,55,1,1,2.13,3.33,1.22,205.5,133.7,3.12,1.10,1997-04-03,20005
225,°­Áö±¤,21S,1,0,0,0,0,0,0,0,1.0,4,4,10,3,0,0,0,4,0,0,1,0,0,36.00,13.33,7.00,12.5,33.5,-0.13,-0.00,1990-10-23,20006
183,°­ÅÂ°æ,21N,3,0,0,3,0,1,0,0,12.2,8,8,61,13,3,0,2,10,0,2,10,0,2,5.68,6.65,1.82,79.9,68.0,0.01,-0.36,2001-07-26,20007
179,°­ÅÂÀ²,21·Ô,1,0,0,0,0,0,0,0,0.1,0,0,3,2,1,0,0,0,0,0,0,0,0,0.00,3.33,6.00,,133.6,0.01,0.00,1996-11-01,20008
221,°íºÀÀç,21µÎ,1,0,0,0,0,0,0,0,1.1,4,4,8,5,0,0,1,0,0,0,0,0,0,27.00,13.08,3.75,16.0,31.3,-0.12,0.00,1993-05-14,20009
265,°í¿µÃ¢,21K,24,0,0,0,0,2,0,6,23.1,19,15,108,30,6,0,0,10,0,2,6,0,0,5.79,4.36,1.71,76.9,102.5,-0.28,-0.44,1989-02-24,20010
2,°í¿µÇ¥,21K,26,1,1,25,11,6,0,1,166.2,59,54,664,147,20,2,9,27,1,14,130,0,1,2.92,3.19,1.04,154.0,139.2,5.23,2.27,1991-09-16,20011
17,°í¿ì¼®,21L,63,0,0,0,1,5,30,0,58.0,15,14,240,47,10,1,3,23,5,3,68,0,1,2.17,2.75,1.21,198.6,157.6,3.13,-0.20,1998-08-06,20012
167,°íÈ¿ÁØ,21L,3,0,0,0,0,0,0,0,2.1,1,1,10,3,0,1,0,0,0,0,1,0,0,3.86,2.48,1.29,111.8,180.1,0.04,-0.14,1983-02-08,20013
