,이름,PIP,이름,LSO,이름,Go/Fo,이름,Qs%,득점지원,이름,구원방어율,Rel%,WPA
28,,,,,,,박종훈,66.7,4.80,이현승,1.93,18.9,0.89
29,,,,,,,이인복,12.5,4.10,홍성민,3.92,30.0,-0.06
30,,,,,,,브리검,60.0,8.85,김성민,3.28,41.4,0.05
31,,,,,,,이민호,31.8,5.43,김재웅,3.54,40.9,0.82
32,,,,,,,임찬규,41.2,3.77,최성훈,2.43,43.2,-0.21
33,,,,,,,곽빈,4.8,4.56,원종현,4.25,60.0,-1.57
34,,,,,,,문승원,55.6,4.83,심재민,2.84,55.6,-0.16
35,,,,,,,한현희,33.3,5.56,진해수,2.44,13.6,-0.19
36,,,,,,,최채흥,30.0,4.76,조현우,2.61,16.7,0.71
37,,,,,,,소형준,33.3,5.82,김진욱,3.29,36.8,-0.01
38,,,,,,,윤대경,0.0,3.38,박민호,3.95,35.3,0.16
39,,,,,,,윤중현,7.7,4.96,김영규,3.73,29.6,0.47
40,,,,,,,라이블리,57.1,3.78,이승진,3.91,22.7,0.25
41,,,,,,,엄상백,33.3,7.04,이창재,2.70,33.3,0.23
42,,,,,,,임준형,25.0,3.78,김명신,4.13,29.6,-0.15
43,,,,,,,최원태,39.3,5.90,윤대경,4.19,42.9,0.40
44,,,,,,,이재학,23.5,5.21,백승현,2.16,16.7,0.51
45,,,,,,,장민재,16.7,6.47,권휘,2.66,46.2,0.13
46,,,,,,,프랑코,33.3,6.67,이대은,3.48,16.7,-0.14
47,,,,,,,다카하시,28.6,3.93,홍상삼,4.75,30.4,0.40
48,,,,,,,르위키,50.0,5.65,안영명,4.08,16.7,-0.13
49,,,,,,,배재준,16.7,8.68,배동현,3.00,45.5,-0.09
50,,,,,,,배민서,0.0,4.15,윤중현,3.43,50.0,-0.10
51,,,,,,,심재민,0.0,3.12,윤정현,1.46,42.9,0.08
52,,,,,,,몽고메리,36.4,4.67,송은범,4.10,50.0,0.37
53,,,,,,,이재희,0.0,4.57,장민기,3.47,50.0,-0.67
54,,,,,,,조영우,12.5,4.17,최민준,4.63,38.5,-0.30
55,,,,,,,김민수,0.0,0.00,최금강,4.50,57.1,-0.36
56,,,,,,,송명기,25.0,3.94,최채흥,1.69,0.0,0.35
57,,,,,,,최영환,14.3,5.08,임창민,3.79,35.7,0.23
58,,,,,,,김선기,28.6,5.82,김재열,3.86,60.0,-0.19
59,,,,,,,김기중,8.3,7.08,프랑코,3.29,50.0,0.43
60,,,,,,,이상영,0.0,3.00,오원석,3.79,37.5,-0.01
61,,,,,,,남재현,0.0,0.00,엄상백,0.00,100.0,-0.00
62,,,,,,,이태양,28.6,3.64,박진우,1.64,25.0,-0.01
63,,,,,,,나균안,14.3,4.03,최승용,3.07,41.7,0.13
64,,,,,,,가빌리오,33.3,9.07,최지광,4.91,43.8,0.14
65,,,,,,,강태경,33.3,2.13,김진영,3.93,43.8,-0.10
66,,,,,,,정해영,,0.00,김동혁,4.73,50.0,-0.64
67,,,,,,,정우영,,0.00,박치국,4.09,37.5,0.58
