best/worst,10-28,10-27,10-26,10-25,10-24,10-23,10-22,10-21,10-20,10-19,10-17,10-16,10-15,10-14,10-13,10-12,10-11,10-10,10-09,10-08,10-07,10-06,10-05,10-03,10-02,10-01,09-30,09-29,09-28,09-26,09-25,09-24,09-23,09-22,09-21,09-19,09-18,09-17,09-16,09-15,09-14,09-12,09-11,09-10,09-09,09-08,09-07,09-05,09-04,09-03,09-02,09-01,08-31,08-29,08-28,08-27,08-26,08-25,08-24,08-23,08-22,08-21,08-20,08-19,08-18,08-17,08-15,08-14,08-13,08-12,08-11,08-10,07-11,07-10,07-09,07-08,07-07,07-06,07-05,07-04,07-02,07-01,06-30,06-29,06-27,06-26,06-25,06-24,06-23,06-22,06-20,06-19,06-18,06-17,06-16,06-15,06-13,06-12,06-11,06-10,06-09,06-08,06-06,06-05,06-04,06-03,06-02,06-01,05-30,05-29,05-28,05-27,05-26,05-23,05-22,05-21,05-20,05-19,05-18,05-17,05-16,05-15,05-14,05-13,05-12,05-11,05-09,05-08,05-07,05-06,05-05,05-02,05-01,04-30,04-29,04-28,04-27,04-25,04-24,04-23,04-22,04-21,04-20,04-18,04-17,04-16,04-15,04-14,04-13,04-11,04-10,04-09,04-08,04-07,04-06,04-04,04-03
worst,알테어,몽고메리,최원태,박세웅,고우석,송명기,박종기,김태훈,켈리,김성진,강승호,김동혁,박종기,최원준,이대은,주권,김대유,유희관,전준우,최영환,김재환,진해수,이민호,유희관,최채흥,김민성,로켓,데스파이네,김도규,김민우,박계범,뷰캐넌,이민호,송명기,신민혁,장현식,윤중현,오원석,최정,쿠에바스,박계범,손주영,김윤식,유강남,카펜터,김동혁,피렐라,김윤식,손주영,정우영,신민혁,김명신,소형준,최원태,요키시,장필준,피렐라,고우석,김현수,데스파이네,이영하,강재민,장시환,강승호,곽빈,고우석,스트레일리,김대유,김현수,박시영,오원석,이흥련,김범수,추신수,노시환,이승호,송명기,최원준,노경은,윤대경,켈리,임찬규,이천웅,최원태,홍건희,이승진,로켓,김인태,김재환,한현희,차명진,이민우,김유신,최채흥,이영하,박정수,이천웅,이형종,이형범,이민호,최금강,유강남,이승진,양선률,최정,스트레일리,정찬헌,유강남,최원태,김성민,이용규,안재석,노시환,지시완,진명호,유희관,정찬헌,문경찬,나성범,고우석,하주석,최채흥,임현준,조제영,페르난데스,김웅빈,김민우,킹엄,김상수,미란다,로켓,김정빈,박종기,장지훈,김원중,김현수,노경은,이영하,강동연,박석민,유강남,고영창,이형종,이민호,최원준,페르난데스,윤명준,박경수,김민규,조영우,김민성,이건욱,이영하,김상수,백정현,장현식,뷰캐넌
worst,김진성,폰트,하주석,김기탁,신정락,이정용,고영표,최원준,오원석,박건우,장성우,김명신,최형우,조상우,파슨스,루친스키,,임종찬,유한준,남지민,최원태,안우진,허윤동,고우석,정찬헌,원태인,킹엄,이민우,박종기,프랑코,김선기,이용찬,알테어,요키시,정찬헌,김동혁,정수빈,최원태,정우람,가빌리오,최민준,김태훈,김재윤,김태진,장현식,이형종,장시환,김태훈,오원석,크레익,김웅빈,최민준,김혜성,김현수,임기영,정우람,장재영,이승호,김이환,,최채흥,,로맥,가빌리오,박준영,강민호,로켓,양석환,이승호,곽빈,소형준,호잉,스트레일리,박세웅,김원중,피렐라,가빌리오,최주환,소형준,서진용,김상수,김도규,구승민,최채흥,정해영,김유신,이민우,김윤식,이정용,이태양,홍건희,김민수,김민수,수아레즈,정우영,조상우,조영우,조상우,최원태,조상우,이건욱,이태양,서건창,최채흥,이지영,,브리검,박동원,장시환,배동현,카펜터,김상수,김재윤,루친스키,송명기,박석민,,미란다,김재호,오원석,,이승관,전병우,강민호,고영표,양창섭,요키시,문승원,,주권,쿠에바스,김현수,김태진,김유신,장재영,장승현,허경민,서진용,박병호,김선기,장시환,김태훈,김정인,이창진,수아레즈,조영우,요키시,김정인,임찬규,최재훈,주권,유희관,오주원,송우현,김선기,라이블리,
worst,이영하,배제성,손정욱,,김현준,박해민,주현상,박진태,호잉,최민준,요키시,배정대,박병호,원태인,우규민,고우석,,황영국,카펜터,채은성,김범수,김민혁,김재윤,장지훈,주권,최원태,이창진,,페레즈,호잉,서건창,이강준,박세웅,카펜터,켈리,로맥,이태양,배정대,박세웅,이학주,김헌곤,주현상,정우람,박해민,김재윤,멩덴,,박진태,홍상삼,박세혁,최원준,장시환,최영환,몽고메리,박시영,장지훈,이태양,최민준,서진용,,이준영,,김성민,김재윤,이민호,박동원,임기영,정해영,가빌리오,진명호,이영하,김범수,강백호,,고영표,,최재훈,,정우람,김성민,요키시,김대우,최지광,이승재,신정락,카펜터,노수광,박준표,김태훈,이의리,카펜터,김민우,서진용,김기중,김민수,전준우,김민우,조한민,하주석,김태진,카펜터,김혜성,이보근,노경은,데스파이네,,구준범,우규민,이승민,유희관,뷰캐넌,브리검,안우진,수아레즈,켈리,고우석,,노경은,배동현,,,김대우,장지훈,이해창,윤호솔,카펜터,소형준,데스파이네,,김대우,강재민,고우석,이민호,라모스,한유섬,유원상,정수민,김원중,한동희,이정현,임현준,이건욱,이승민,최원태,장재영,김선기,김영규,고종욱,한유섬,알몬테,장시환,이보근,김진영,폰트,하주석,손아섭,
worst,페레즈,킹엄,,,김택형,이승헌,김진성,,,강백호,이승헌,노성호,배재준,박세웅,안중열,류지혁,,,,몽고메리,다카하시,강재민,페르난데스,윤대경,정우람,유한준,배제성,,박진태,이용찬,최정원,김지수,이성곤,소형준,박준표,하주석,서준원,한승혁,이상민,송재영,멩덴,박준표,이재학,폰트,강윤구,이인복,,백정현,곽빈,김현수,박찬호,김동혁,,강진성,알테어,로켓,최원준,최영환,,,황재균,,이호연,김기중,김민우,,이승현,최채흥,우규민,,정해영,박준영,,,,,,,,김민규,오재원,장시환,정우람,,심창민,차우찬,김상수,김민하,힐리,윤대경,이승민,나균안,원태인,박준표,장지훈,,임창민,신민혁,오승환,홍건희,김대우,김선빈,이민우,김유신,이승재,,이승재,브룩스,김태진,정해영,장현식,프랑코,김원중,배동현,소형준,박경수,,원태인,백정현,,,김유신,노경은,터커,홍창기,켈리,노경은,오승환,,김대우,스트레일리,노수광,이승헌,박세웅,백정현,원종현,김영규,오지환,임찬규,임종찬,스트레일리,김진욱,이영하,정훈,프랑코,이승현,정진호,이승민,박주홍,멩덴,임기영,브룩스,배제성,정우영,이정용,김범수,
worst,프랑코,구승민,,,요키시,고영창,,,,,루친스키,최준용,,,,,,,,,원종현,한동희,최원준,김진성,홍성민,원종현,이태양,,노성호,최정,최민준,허경민,터커,노성호,프랑코,김영규,루친스키,배재준,김민성,정찬헌,김동혁,서준원,스트레일리,송명기,신민혁,강태경,,스트레일리,이재학,손아섭,,김인태,,홍건희,프랑코,,이용찬,,,,켈리,,김재성,,박동원,,정우람,장시환,김민우,,박준영,,,,,,,,,신민혁,임정호,송명기,박민호,,김택형,김정빈,,김진욱,루친스키,마차도,강진성,박준영,김혜성,황재균,김진성,,나균안,,,,이영하,박정수,최금강,윤대경,카펜터,,박치국,원종현,김진욱,안치홍,,원태인,신민혁,장민기,최채흥,최원준,,정해영,멩덴,,,,장현식,김태훈,프랑코,김원중,정해영,최원준,,로맥,오원석,요키시,파슨스,강동연,박준표,박찬호,김범수,정해영,이민우,백정현,루친스키,쿠에바스,파슨스,이재학,김범수,주현상,박진형,김대우,이민우,박병호,안우진,김진욱,김영규,구승민,원종현,양의지,
worst,,,,,고우석,,,,,,윤중현,고우석,,,,,,,,,,이태양,,,,이대은,,,,,,김진욱,,,,,,,,김현수,,이정용,,,,,,,,카펜터,,이태양,,,,,강진성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,백정현,,,,,,쿠에바스,,,최용준,,홍상삼,,,,,,,,,,,,,김원중,,,,,,,,,,,,,,,,,한석현,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worst,,,,,,,,,,,최지훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,주권,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,박세웅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,장지훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worst,,,,,,,,,,,양의지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강재민,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,김진호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,홍상삼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유민상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,김재웅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
