,이름,팀,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2루,피3루,피홈런,볼넷,고의사구,사구,탈삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,birth,pid
264,김대현,21L,4,0,0,0,0,0,0,0,3.2,8,5,23,7,4,0,2,3,0,1,4,0,1,12.27,11.51,2.73,35.1,36.1,-0.28,-0.06,1997-03-08,20028
145,김도규,21롯,43,0,0,0,2,1,0,5,42.0,28,27,182,41,5,1,3,22,1,0,39,0,2,5.79,3.90,1.50,78.6,114.2,0.10,0.51,1998-07-11,20029
169,김도윤,21두,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0,0,0,0,0,0,2,0,0,0.00,-0.67,0.00,,-651.2,0.04,0.00,2002-06-28,20030
233,김동우,21롯,5,0,0,0,0,0,0,0,5.0,7,6,30,10,0,0,1,5,0,0,3,0,2,10.80,7.73,3.00,42.1,57.8,-0.15,-0.02,1995-10-01,20031
198,김동욱,21키,3,0,0,0,0,0,0,0,3.0,3,3,16,7,0,1,2,1,0,0,2,0,0,9.00,11.67,2.67,49.3,35.7,-0.04,-0.00,1997-05-16,20032
119,김동혁,21키,40,0,0,8,0,5,1,0,82.0,51,47,367,89,21,0,5,34,4,14,30,1,0,5.16,5.00,1.50,85.9,87.6,0.25,-1.57,2001-12-27,20033
84,김명신,21두,58,0,0,1,3,2,0,2,67.0,37,32,289,72,14,3,6,14,1,6,43,0,1,4.30,4.06,1.28,100.3,105.9,0.58,-0.19,1993-11-29,20034
256,김민규,21두,31,0,0,6,2,3,0,1,56.1,40,38,262,64,10,0,9,28,0,4,39,0,3,6.07,5.73,1.63,71.0,74.4,-0.22,-0.67,1999-05-07,20035
60,김민수,21K,56,0,0,1,4,2,0,11,58.0,25,19,253,56,8,1,2,24,3,3,55,1,3,2.95,3.13,1.38,152.3,142.2,1.18,-0.18,1992-07-24,20036
171,김민수,21롯,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,0,1,0,0,0.00,4.33,1.00,,102.8,0.03,0.00,1998-03-18,20037
24,김민우,21한,29,0,0,28,14,10,0,0,155.1,71,69,662,131,23,1,15,76,1,7,125,1,5,4.00,4.56,1.33,109.6,97.7,2.94,0.39,1995-07-25,20038
161,김범수,21한,56,0,0,2,4,9,1,9,70.2,44,41,319,68,11,2,2,42,1,2,70,1,8,5.22,3.55,1.56,83.9,125.8,0.05,-1.36,1995-10-03,20039
105,김상수,21S,50,0,0,0,4,3,6,5,58.1,33,33,273,71,8,0,10,30,3,1,44,0,2,5.09,5.49,1.73,88.1,83.0,0.32,-0.04,1988-01-02,20040
286,김선기,21키,21,0,0,7,3,2,0,0,48.1,38,35,224,53,12,0,5,22,0,7,25,1,4,6.52,5.44,1.55,68.0,79.8,-0.50,-1.40,1991-09-01,20041
69,김성민,21키,47,0,0,0,2,3,1,11,46.2,21,17,218,43,7,0,4,35,2,6,36,0,1,3.28,5.41,1.67,135.2,80.4,0.95,0.05,1994-04-26,20042
266,김성진,21키,45,0,0,0,1,3,0,2,40.2,30,24,185,40,13,0,4,23,2,0,29,0,3,5.31,4.73,1.55,83.5,91.2,-0.29,-1.01,1997-11-14,20043
231,김세현,21S,5,0,0,0,0,0,0,0,4.1,5,5,28,9,2,0,0,7,1,0,5,1,0,10.38,5.18,3.69,43.2,86.9,-0.14,-0.05,1987-08-07,20044
103,김영규,21N,37,0,0,8,5,3,0,6,63.2,40,38,286,69,8,0,10,28,0,1,42,0,3,5.37,5.42,1.52,84.5,83.6,0.33,-0.56,2000-02-10,20045
33,김원중,21롯,61,0,0,0,4,4,35,0,62.2,26,25,268,50,8,0,6,28,4,3,64,0,8,3.59,3.83,1.25,126.6,116.5,2.25,2.20,1993-06-14,20046
295,김유신,21K,15,0,0,11,2,6,0,0,54.1,47,46,249,63,12,1,11,35,0,2,29,0,0,7.62,6.94,1.80,58.4,63.7,-0.75,-1.61,1999-06-14,20047
240,김유영,21롯,26,0,0,0,1,0,0,0,18.2,16,15,92,21,4,0,1,14,0,2,17,0,2,7.23,4.78,1.88,62.8,93.4,-0.17,-0.11,1994-05-02,20048
269,김윤수,21삼,20,0,0,1,0,0,0,1,19.0,18,14,101,25,5,0,2,17,0,1,25,0,4,6.63,4.91,2.21,68.1,91.6,-0.33,-0.65,1999-12-08,20049
87,김윤식,21L,35,0,0,3,7,4,0,1,66.2,37,32,301,65,9,2,3,36,2,6,56,2,0,4.32,4.04,1.52,99.8,108.1,0.54,-0.54,2000-04-03,20050
284,김이환,21한,14,0,0,5,0,1,0,0,26.0,22,22,132,32,5,0,2,22,0,4,13,0,1,7.62,6.33,2.08,57.5,70.5,-0.46,-0.50,2000-09-15,20051
124,김인범,21키,3,0,0,0,0,0,0,0,5.1,0,0,20,3,1,0,0,1,0,0,5,0,0,0.00,2.02,0.75,,218.3,0.22,0.03,2000-01-12,20052
96,김재열,21K,24,0,0,0,1,0,0,0,32.2,18,14,152,28,4,0,4,18,0,4,18,1,1,3.86,5.84,1.41,115.3,76.0,0.39,-0.19,1996-01-02,20053
70,김재웅,21키,51,0,0,0,0,1,1,11,53.1,24,21,243,49,2,0,5,33,3,1,47,0,2,3.54,4.53,1.54,125.1,95.2,0.95,0.82,1998-10-22,20054
20,김재윤,21K,65,0,0,0,4,3,32,0,67.0,19,18,275,57,8,0,5,24,4,0,64,0,2,2.42,3.29,1.21,185.8,135.2,3.07,1.38,1990-09-16,20055
294,김정빈,21S,6,0,0,6,0,1,0,0,17.1,20,19,92,20,1,0,5,20,0,4,21,0,1,9.87,8.81,2.31,45.5,51.9,-0.72,-1.33,1994-06-08,20056
270,김정인,21키,11,0,0,6,1,2,0,0,31.2,26,25,151,34,6,1,6,18,0,2,21,0,2,7.11,6.36,1.64,62.4,67.4,-0.33,-0.79,1996-06-03,20057
141,김종수,21한,49,0,0,0,1,1,0,6,46.2,29,25,208,34,10,0,7,32,0,3,38,0,2,4.82,5.90,1.41,90.8,75.5,0.11,-0.20,1994-06-03,20058
152,김주온,21S,2,0,0,0,0,0,0,0,2.0,0,0,10,1,1,0,0,2,0,1,3,0,0,0.00,4.83,1.50,,94.1,0.07,0.00,1996-12-08,20059
118,김준형,21키,14,0,0,0,0,0,0,0,14.1,6,5,67,15,1,0,2,7,0,3,8,0,1,3.14,6.12,1.54,141.2,70.7,0.25,0.07,2002-07-12,20060
130,김지용,21L,3,0,0,0,0,0,0,0,4.0,0,0,16,2,2,0,0,1,0,1,5,0,0,0.00,2.33,0.75,,189.5,0.17,0.02,1988-02-20,20061
