,이름,팀,G,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희플,타율,출루율,장타율,OPS,wOBA,wRC+,WAR*,WPA,birth,pid
251,김호은,21L,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.23,-0.27,1992-01-03,10076
227,김호재,21삼1B,87,90,75,9,17,2,0,0,19,7,0,0,9,2,0,14,0,3,1,.227,.322,.253,.575,.280,60.2,-0.14,-0.15,1995-05-31,10077
274,김휘집,21키3B,34,89,70,9,9,1,0,1,13,8,1,0,13,2,0,23,0,3,1,.129,.279,.186,.465,.238,33.6,-0.38,-0.48,2002-01-01,10078
12,나성범,21NRF,144,623,570,96,160,29,1,33,290,101,1,2,38,11,2,155,5,0,4,.281,.336,.509,.844,.380,124.1,3.91,3.13,1989-10-03,10079
244,나승엽,21롯1B,60,128,113,16,23,2,0,2,31,10,1,0,14,0,0,33,1,0,1,.204,.289,.274,.563,.276,55.7,-0.21,-0.56,2002-02-15,10080
167,나원탁,21롯,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,-0.00,1994-08-20,10081
276,나주환,21K3B,19,32,31,0,5,0,0,0,5,3,0,0,0,0,0,12,2,0,1,.161,.156,.161,.318,.150,-27.9,-0.39,-0.50,1984-06-14,10082
254,나지완,21KLF,31,102,81,3,13,1,0,0,14,7,0,0,14,6,0,29,3,0,1,.160,.324,.173,.496,.272,53.2,-0.24,-0.12,1985-05-19,10083
139,남태혁,21S1B,12,22,20,2,6,1,0,1,10,4,0,0,1,1,0,7,1,0,0,.300,.364,.500,.864,.396,133.8,0.15,-0.02,1991-03-13,10084
115,노수광,21한CF,52,180,160,21,37,7,0,3,53,14,13,1,17,1,0,46,1,2,0,.231,.309,.331,.640,.304,76.4,0.30,-0.64,1990-08-06,10085
16,노시환,21한3B,107,458,380,56,103,18,1,18,177,84,5,2,73,1,9,107,15,0,4,.271,.387,.466,.852,.387,131.8,3.75,1.82,2000-12-03,10086
34,노진혁,21NSS,107,384,330,41,95,22,0,8,141,58,1,1,42,5,0,90,3,4,3,.288,.374,.427,.801,.372,120.4,2.90,0.75,1989-07-15,10087
283,노태형,21한1B,18,49,43,6,5,1,0,0,6,1,0,0,6,0,0,15,0,0,0,.116,.225,.140,.364,.196,3.9,-0.43,-0.44,1995-02-08,10088
216,도태훈,21N3B,77,76,66,10,12,1,0,1,16,9,1,0,6,4,0,14,3,0,0,.182,.290,.242,.532,.269,52.4,-0.09,-0.57,1993-03-18,10089
95,라모스,21L1B,51,205,185,14,45,7,1,8,78,25,0,0,18,2,0,43,2,0,0,.243,.317,.422,.739,.341,107.1,0.58,-0.15,1994-12-28,10090
64,로맥,21S1B,107,421,355,55,80,11,0,20,151,52,1,0,59,4,1,83,9,0,3,.225,.340,.425,.765,.354,105.5,1.13,-0.59,1985-09-30,10091
59,류지혁,21K3B,92,327,273,37,76,8,0,2,90,34,0,0,42,7,1,46,7,2,3,.278,.385,.330,.714,.348,104.4,1.27,-0.08,1994-01-13,10092
38,마차도,21롯SS,134,539,466,83,130,21,1,5,168,58,8,5,58,4,1,65,8,4,7,.279,.359,.361,.719,.341,98.3,2.55,-0.66,1992-02-22,10093
228,모창민,21N1B,3,6,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,.000,.167,.000,.167,.123,-46.3,-0.15,-0.15,1985-05-08,10094
66,문보경,21L1B,107,329,278,37,64,11,1,8,101,39,3,1,46,0,1,64,5,3,2,.230,.337,.363,.701,.329,97.1,1.06,0.79,2000-07-19,10095
209,문상철,21KDH,53,105,95,14,20,6,0,2,32,16,2,0,8,2,0,33,1,0,0,.211,.286,.337,.623,.295,67.8,-0.07,-0.84,1991-04-06,10096
225,문성주,21LLF,31,89,79,11,18,1,0,1,22,10,1,1,7,2,0,15,1,0,1,.228,.303,.278,.582,.286,65.3,-0.13,-0.68,1997-02-20,10097
201,문찬종,21키2B,12,17,14,0,2,0,0,0,2,1,0,0,3,0,0,4,1,0,0,.143,.294,.143,.437,.243,35.7,-0.06,-0.12,1991-03-23,10098
238,민병헌,21롯CF,14,49,42,5,8,3,0,0,11,2,0,1,6,0,0,11,2,1,0,.190,.292,.262,.554,.269,50.2,-0.18,-0.20,1987-03-10,10099
10,박건우,21두RF,126,525,458,82,149,31,2,6,202,63,13,0,50,11,2,72,16,0,6,.325,.400,.441,.841,.394,138.5,4.62,1.64,1990-09-08,10100
146,박경수,21K2B,118,280,239,24,46,10,0,9,83,33,0,1,34,3,2,76,7,4,0,.192,.301,.347,.648,.301,72.4,0.10,-0.95,1984-03-31,10101
45,박계범,21두SS,118,385,322,44,86,12,1,5,115,46,4,3,44,9,0,68,8,7,3,.267,.368,.357,.725,.344,104.8,2.06,0.60,1996-01-11,10102
170,박관진,21키,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1997-03-26,10103
273,박대온,21NC,42,95,85,4,18,1,0,0,19,5,0,0,4,0,0,21,0,4,2,.212,.242,.224,.465,.216,18.3,-0.38,-0.60,1995-08-28,10104
30,박동원,21키C,131,481,413,61,103,21,0,22,190,83,2,0,53,7,0,114,12,5,3,.249,.342,.460,.803,.364,120.5,3.09,1.29,1990-04-07,10105
247,박민,21KSS,18,38,35,3,6,1,0,0,7,3,0,1,2,1,0,10,1,0,0,.171,.237,.200,.437,.220,18.8,-0.22,-0.41,2001-06-05,10106
77,박민우,21N2B,50,215,180,30,47,5,3,1,61,18,12,3,22,7,0,23,4,4,2,.261,.360,.339,.699,.333,94.8,0.83,-0.50,1993-02-06,10107
54,박병호,21키1B,118,477,409,48,93,23,0,20,176,76,0,1,47,14,3,141,9,0,7,.227,.323,.430,.753,.343,106.4,1.47,0.01,1986-07-10,10108
183,박상언,21한,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.02,-0.00,1997-03-03,10109
58,박석민,21N3B,59,205,171,27,44,8,0,10,82,41,0,0,27,2,1,43,8,3,2,.257,.361,.480,.841,.377,121.5,1.32,0.01,1985-06-22,10110
166,박성재,21두,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,-0.00,2002-11-18,10111
21,박성한,21SSS,135,471,407,53,123,21,1,4,158,44,12,5,49,1,0,73,1,12,2,.302,.377,.388,.765,.356,110.3,3.34,1.40,1998-03-30,10112
126,박세혁,21두C,96,270,237,25,52,12,0,0,64,30,4,2,22,5,0,43,6,3,3,.219,.296,.270,.566,.275,57.8,0.24,-1.05,1990-01-09,10113
191,박승규,21삼LF,59,78,66,13,12,1,0,3,22,5,1,1,9,2,0,9,4,1,0,.182,.299,.333,.632,.299,69.3,-0.05,-0.27,2000-09-02,10114
150,박승욱,21K2B,8,6,6,5,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0,.333,.333,.500,.833,.381,121.9,0.07,-0.07,1992-12-04,10115
182,박시원,21N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.02,-0.13,2001-05-30,10116
217,박정우,21KCF,32,61,48,3,9,1,0,0,10,4,0,2,10,2,0,8,2,1,0,.188,.350,.208,.558,.294,67.6,-0.09,-0.24,1998-02-01,10117
236,박정음,21키LF,69,17,13,19,0,0,0,0,0,1,4,2,2,1,0,3,1,0,1,.000,.177,.000,.177,.132,-38.8,-0.17,-0.24,1989-04-15,10118
287,박정현,21한SS,33,120,107,10,21,4,0,0,25,9,1,0,9,0,0,32,1,3,1,.196,.256,.234,.490,.235,30.9,-0.52,-0.59,2001-07-27,10119
285,박주홍,21키DH,23,56,47,4,5,2,0,0,7,3,1,1,9,0,0,21,1,0,0,.106,.250,.149,.399,.217,18.3,-0.45,-0.34,2001-04-16,10120
101,박준영,21N3B,111,315,273,37,57,7,2,8,92,31,4,3,27,10,0,92,9,3,2,.209,.301,.337,.638,.302,73.0,0.43,-2.04,1997-08-05,10121
158,박준태,21키RF,27,58,46,10,9,3,0,0,12,4,1,0,10,2,0,16,0,0,0,.196,.362,.261,.623,.321,86.6,0.03,-0.18,1991-07-26,10122
148,박지훈,21두1B,34,14,12,6,4,1,0,0,5,2,3,1,1,1,0,3,0,0,0,.333,.429,.417,.845,.408,146.4,0.10,0.23,2000-09-07,10123
61,박찬호,21KSS,131,483,418,51,103,15,5,1,131,59,9,4,54,0,0,73,11,8,3,.246,.331,.313,.644,.308,77.7,1.15,0.17,1995-06-05,10124
20,박해민,21삼CF,127,542,454,78,132,22,1,5,171,54,36,15,69,3,2,82,3,9,7,.291,.383,.377,.759,.356,110.6,3.38,1.39,1990-02-24,10125
159,배성근,21롯SS,79,109,93,21,19,4,0,1,26,9,1,0,14,0,0,36,1,2,0,.204,.308,.280,.588,.285,61.5,0.03,-0.18,1995-04-27,10126
32,배정대,21KCF,144,595,510,85,132,23,1,12,193,68,19,7,65,12,2,132,9,3,5,.259,.353,.378,.732,.345,101.1,3.02,-1.05,1995-06-12,10127
208,백동훈,21두CF,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.07,-0.05,1990-09-16,10128
212,백승민,21삼,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.08,-0.01,1990-07-09,10129
266,백용환,21K한C,39,102,86,10,12,1,0,4,25,4,0,0,11,3,0,26,4,2,0,.140,.260,.291,.551,.262,47.7,-0.34,0.42,1989-03-20,10130
277,변상권,21키LF,72,171,159,19,38,5,4,0,51,20,0,0,9,0,0,40,2,0,3,.239,.275,.321,.596,.279,56.1,-0.39,0.62,1997-04-04,10131
281,보어,21L1B,32,117,100,7,17,2,0,3,28,17,0,0,11,3,0,30,2,0,3,.170,.265,.280,.545,.263,52.8,-0.43,-0.23,1988-05-28,10132
36,서건창,21키L2B,144,599,512,78,130,24,2,6,176,52,12,4,69,9,2,77,14,5,4,.254,.350,.344,.694,.331,94.8,2.83,0.14,1989-08-22,10133
178,서예일,21두3B,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.02,-0.03,1993-06-19,10134
135,손성빈,21롯C,20,22,19,4,6,0,0,0,6,0,0,0,3,0,0,6,0,0,0,.316,.409,.316,.725,.362,113.2,0.17,-0.12,2002-01-14,10135
22,손아섭,21롯RF,139,610,542,88,173,29,2,3,215,58,11,6,61,3,3,67,15,3,1,.319,.390,.397,.787,.373,118.8,3.33,1.98,1988-03-18,10136
210,손호영,21LSS,8,12,10,2,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,.100,.250,.100,.350,.205,11.0,-0.07,0.01,1994-08-23,10137
99,송민섭,21KRF,122,64,47,39,11,0,0,0,11,7,15,1,12,0,0,21,0,5,0,.234,.390,.234,.624,.303,73.1,0.46,0.35,1991-08-02,10138
69,송성문,21키3B,66,274,245,30,61,10,1,6,91,33,0,0,25,1,0,42,2,2,1,.249,.320,.371,.691,.323,90.2,0.94,0.26,1996-08-29,10139
52,송우현,21키RF,69,282,250,34,74,17,2,3,104,42,1,1,28,2,1,49,4,1,1,.296,.370,.416,.786,.368,117.4,1.51,0.62,1996-12-27,10140
152,송준석,21삼LF,19,55,51,5,12,2,0,2,20,4,0,0,3,1,0,13,1,0,0,.235,.291,.392,.683,.317,81.8,0.06,-0.22,1994-05-04,10141
234,송호정,21한SS,10,11,10,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,.000,.091,.000,.091,.067,-82.3,-0.17,-0.16,2002-03-10,10142
202,신민재,21L2B,32,27,23,8,3,0,0,0,3,2,2,1,4,0,0,6,0,0,0,.130,.259,.130,.390,.216,17.1,-0.06,-0.32,1996-01-21,10143
122,신본기,21K2B,96,205,173,25,41,8,0,1,52,19,1,2,22,4,0,44,6,5,1,.237,.335,.301,.636,.305,74.7,0.26,-0.52,1989-03-21,10144
197,신성현,21두3B,11,15,11,3,2,0,0,0,2,0,0,0,3,1,0,6,0,0,0,.182,.400,.182,.582,.327,90.7,-0.05,0.05,1990-10-19,10145
128,신용수,21롯CF,71,136,119,23,31,5,2,1,43,6,3,1,11,3,0,20,2,2,1,.261,.336,.361,.697,.327,88.6,0.21,-0.63,1996-01-05,10146
255,신준우,21키SS,56,51,42,7,7,3,0,0,10,4,0,1,4,3,0,21,1,1,1,.167,.280,.238,.518,.256,42.9,-0.25,-0.20,2001-06-21,10147
48,심우준,21KSS,139,460,407,61,109,20,2,6,151,48,16,6,32,4,0,65,2,10,6,.268,.323,.371,.694,.318,83.3,1.74,-0.16,1995-04-28,10148
213,안권수,21두RF,87,47,42,17,10,0,1,0,12,4,3,0,3,0,0,3,0,2,0,.238,.289,.286,.575,.266,48.7,-0.08,-0.25,1993-04-19,10149
151,안상현,21S2B,37,40,39,9,10,2,0,1,15,4,3,1,1,0,0,15,0,0,0,.256,.275,.385,.660,.304,73.9,0.07,-0.11,1997-01-27,10150
215,안익훈,21LCF,48,16,14,4,2,1,0,0,3,1,0,0,0,2,0,2,1,0,0,.143,.250,.214,.464,.239,35.3,-0.09,-0.09,1996-02-12,10151
82,안재석,21두SS,96,224,200,28,51,8,2,2,69,14,1,0,16,4,0,53,4,0,4,.255,.317,.345,.662,.314,83.8,0.79,-1.02,2002-02-15,10152
169,안주형,21삼2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1993-08-14,10153
72,안중열,21롯C,58,157,125,19,29,5,0,3,43,16,0,0,27,1,0,25,1,3,1,.232,.370,.344,.714,.341,98.7,0.92,0.36,1995-09-01,10154
18,안치홍,21롯2B,119,490,421,58,129,30,2,10,193,82,3,6,52,3,2,58,10,5,9,.306,.379,.458,.838,.382,124.3,3.45,1.55,1990-07-02,10155
96,알몬테,21KLF,60,249,224,18,61,9,0,7,91,36,1,0,22,1,0,49,9,0,2,.272,.337,.406,.744,.347,102.5,0.57,-0.46,1989-06-10,10156
