,이름,팀,G,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희플,타율,출루율,장타율,OPS,wOBA,wRC+,WAR*,WPA,birth,pid
246,강경학,21한K2B,26,39,33,3,5,0,0,0,5,1,1,0,5,1,0,13,0,0,0,.152,.282,.152,.434,.237,31.3,-0.21,-0.40,1992-08-11,10000
235,강로한,21롯CF,21,35,33,7,4,0,0,2,10,4,0,0,2,0,0,18,0,0,0,.121,.171,.303,.475,.215,15.3,-0.17,0.06,1992-05-13,10001
218,강민국,21K2B,18,50,45,2,11,2,0,0,13,4,0,0,3,0,0,6,1,2,0,.244,.292,.289,.581,.270,50.6,-0.10,-0.17,1992-01-10,10002
15,강민호,21삼C,123,462,406,55,118,22,0,18,194,67,0,0,45,4,4,53,18,0,7,.291,.362,.478,.839,.380,123.6,3.86,1.49,1985-08-18,10003
2,강백호,21K1B,142,627,516,76,179,40,1,16,269,102,10,5,103,0,10,85,7,0,8,.347,.450,.521,.971,.443,165.5,6.35,5.78,1999-07-29,10004
245,강상원,21한CF,35,49,37,7,4,0,0,0,4,2,3,0,9,1,0,11,0,2,0,.108,.298,.108,.406,.229,26.0,-0.21,-0.23,1997-05-05,10005
70,강승호,21두2B,113,340,301,47,72,16,2,7,113,37,8,2,22,6,1,78,8,8,3,.239,.301,.375,.677,.307,81.8,0.94,-0.93,1994-02-09,10006
131,강진성,21N1B,124,462,406,49,101,20,0,7,142,38,9,3,36,14,2,68,12,4,2,.249,.330,.350,.679,.321,86.9,0.19,-1.32,1993-10-19,10007
242,강태율,21롯C,19,31,26,1,2,1,0,1,6,5,0,1,4,0,0,10,1,0,1,.077,.194,.231,.424,.204,7.9,-0.20,-0.52,1996-11-01,10008
132,강한울,21삼3B,124,258,223,25,58,5,0,0,63,27,2,2,29,0,0,58,5,3,3,.260,.341,.283,.624,.305,77.6,0.19,-0.26,1991-09-12,10009
176,고명성,21KSS,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.01,-0.00,1999-04-16,10010
226,고명준,21SDH,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,.000,.000,.000,.000,.000,-126.4,-0.14,-0.23,2002-07-08,10011
222,고종욱,21SLF,88,199,180,25,48,5,0,2,59,18,2,3,16,0,0,30,6,1,2,.267,.323,.328,.651,.311,80.0,-0.12,0.00,1989-01-11,10012
259,구본혁,21LSS,123,45,38,10,5,2,0,0,7,3,0,0,3,1,0,7,0,1,2,.132,.205,.184,.389,.189,0.9,-0.28,-0.19,1997-01-11,10013
5,구자욱,21삼RF,139,610,543,107,166,30,10,22,282,88,27,4,48,6,3,98,9,1,12,.306,.361,.519,.881,.394,134.0,5.00,3.48,1993-02-12,10014
221,국해성,21두RF,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,.125,.125,.125,.250,.120,-47.3,-0.12,-0.11,1989-10-08,10015
103,권동진,21KSS,86,85,66,21,17,5,0,1,25,6,3,3,18,0,0,30,0,1,0,.258,.417,.379,.796,.382,124.9,0.42,-0.03,1998-09-12,10016
161,권민석,21두2B,33,15,14,8,3,2,0,0,5,1,0,0,1,0,0,7,0,0,0,.214,.267,.357,.624,.290,69.9,0.02,-0.20,1999-02-20,10017
180,권정웅,21삼C,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.02,-0.02,1992-11-15,10018
220,권혁경,21KC,5,18,18,1,4,0,0,0,4,0,0,0,0,0,0,6,2,0,0,.222,.222,.222,.444,.213,13.9,-0.11,-0.27,2002-01-23,10019
57,권희동,21NLF,55,171,133,25,35,3,0,8,62,26,2,0,29,5,1,24,4,1,3,.263,.406,.466,.872,.400,136.7,1.32,0.63,1990-12-30,10020
74,김강민,21SCF,122,260,223,43,53,12,1,8,91,27,3,3,25,6,1,52,3,3,3,.238,.327,.408,.735,.336,95.1,0.88,-0.65,1982-09-13,10021
185,김건형,21KRF,11,39,33,4,7,1,0,0,8,0,1,0,6,0,1,6,0,0,0,.212,.333,.242,.576,.283,60.4,-0.03,0.06,1996-07-12,10022
237,김규남,21SLF,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.18,-0.13,1995-05-12,10023
261,김규성,21KSS,54,41,36,8,5,1,0,0,6,2,0,1,5,0,0,17,0,0,0,.139,.244,.167,.411,.216,15.5,-0.28,-0.50,1997-03-08,10024
268,김기환,21NLF,62,149,140,19,29,7,2,3,49,13,15,4,8,0,0,45,1,1,0,.207,.250,.350,.600,.275,55.2,-0.35,-0.39,1995-08-25,10025
258,김도환,21삼C,25,46,41,1,6,2,0,0,8,1,0,1,2,2,0,20,0,1,0,.146,.222,.195,.417,.206,11.9,-0.28,-0.32,2000-04-14,10026
260,김동엽,21삼LF,69,203,185,20,44,9,0,4,65,24,2,1,10,4,0,42,2,0,4,.238,.286,.351,.637,.297,70.2,-0.28,-0.53,1990-07-24,10027
76,김민성,21L3B,121,426,360,35,80,22,0,8,126,39,3,3,42,8,2,73,7,11,5,.222,.313,.350,.663,.305,80.7,0.83,-0.60,1988-12-17,10028
137,김민수,21롯2B,83,224,199,19,48,11,1,3,70,25,0,0,18,3,0,62,4,3,1,.241,.312,.352,.664,.311,77.8,0.15,-1.37,1998-03-18,10029
233,김민수,21N,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.17,-0.06,1998-07-16,10030
104,김민수,21삼C,47,87,76,9,20,5,0,3,34,13,0,0,6,1,0,13,2,2,2,.263,.318,.447,.765,.339,96.7,0.42,0.16,1991-03-02,10031
92,김민식,21KC,100,301,250,30,55,8,0,3,72,26,0,0,41,4,1,49,2,3,3,.220,.336,.288,.624,.305,75.7,0.62,-0.34,1989-06-28,10032
154,김민하,21한RF,46,142,115,14,24,4,1,1,33,17,6,3,17,8,0,36,3,0,2,.209,.345,.287,.632,.317,85.1,0.04,-0.49,1989-02-25,10033
75,김민혁,21KLF,75,198,171,22,54,6,2,1,67,13,6,3,20,2,0,27,3,5,0,.316,.394,.392,.786,.367,115.7,0.87,0.14,1995-11-21,10034
211,김민혁,21두,6,8,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,.000,.250,.000,.250,.184,-2.7,-0.07,0.05,1996-05-03,10035
163,김병휘,21키2B,12,11,10,5,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,.200,.273,.200,.473,.241,33.9,0.01,-0.05,2001-02-16,10036
62,김병희,21K3B,34,69,51,16,15,3,0,5,33,13,3,0,13,3,0,14,0,2,0,.294,.463,.647,1.110,.476,189.8,1.15,1.10,1990-12-06,10037
108,김상수,21삼2B,132,496,429,46,101,17,1,3,129,42,4,2,52,3,0,51,14,8,4,.235,.320,.301,.620,.298,71.7,0.38,-1.26,1990-03-23,10038
157,김석환,21K1B,5,20,19,1,5,0,0,1,8,3,0,0,0,1,0,7,0,0,0,.263,.300,.421,.721,.333,95.1,0.03,-0.09,1999-02-28,10039
19,김선빈,21K2B,130,564,501,55,154,32,0,5,201,67,0,0,56,1,2,39,19,1,5,.307,.375,.401,.776,.366,116.0,3.42,3.06,1989-12-18,10040
243,김성윤,21삼CF,30,19,18,7,3,0,0,0,3,2,0,1,0,0,0,5,0,0,1,.167,.158,.167,.325,.151,-25.2,-0.21,-0.38,1999-02-02,10041
118,김성표,21삼CF,39,24,18,10,6,0,0,0,6,1,2,1,5,0,0,7,0,1,0,.333,.478,.333,.812,.393,136.4,0.29,-0.19,1994-03-17,10042
51,김성현,21S2B,110,274,237,27,67,15,0,6,100,37,5,2,29,0,0,29,8,4,4,.283,.356,.422,.778,.357,109.8,1.65,1.24,1987-03-09,10043
186,김수환,21키1B,13,43,40,5,8,2,0,2,16,5,0,0,2,0,0,17,2,0,1,.200,.233,.400,.633,.281,65.6,-0.04,-0.08,1998-03-20,10044
205,김용의,21L1B,102,41,27,19,4,2,0,0,6,2,6,0,9,0,0,5,1,4,1,.148,.351,.222,.574,.273,57.4,-0.07,0.36,1985-08-20,10045
83,김웅빈,21키3B,97,278,231,23,55,13,1,5,85,34,1,1,34,9,2,73,2,2,2,.238,.355,.368,.723,.341,101.6,0.78,0.26,1996-02-09,10046
162,김은성,21키LF,6,18,18,1,5,3,0,0,8,2,0,0,0,0,0,6,0,0,0,.278,.278,.444,.722,.327,88.6,0.02,-0.05,1993-03-07,10047
190,김응민,21삼C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.04,-0.06,1991-10-22,10048
49,김인태,21두RF,133,418,344,51,89,15,1,8,130,46,0,2,62,3,0,67,10,5,4,.259,.373,.378,.751,.355,113.3,1.74,1.54,1994-07-03,10049
252,김재성,21LC,58,73,65,6,9,2,1,1,16,3,1,0,5,1,0,13,2,1,1,.138,.208,.246,.455,.214,18.1,-0.23,-0.74,1996-10-30,10050
86,김재유,21롯CF,87,192,174,27,50,8,0,1,61,18,7,0,10,4,0,36,1,4,0,.287,.340,.351,.691,.325,87.4,0.76,0.46,1992-08-07,10051
156,김재현,21키C,39,51,46,2,10,7,0,0,17,8,0,1,3,0,0,12,1,2,0,.217,.265,.370,.635,.282,58.8,0.03,-0.21,1993-03-18,10052
179,김재호,21두SS,89,251,211,23,44,8,0,1,55,24,1,1,29,2,0,34,7,6,3,.209,.306,.261,.567,.275,58.2,-0.02,-1.73,1985-03-21,10053
8,김재환,21두LF,137,566,475,86,130,23,2,27,238,102,2,3,81,5,3,127,9,0,5,.274,.382,.501,.883,.401,148.2,4.77,2.69,1988-09-22,10054
149,김주성,21L3B,3,7,6,1,1,0,0,1,4,1,0,0,1,0,0,3,0,0,0,.167,.286,.667,.952,.399,160.4,0.08,-0.29,1998-01-30,10055
87,김주원,21NSS,69,189,166,20,40,7,1,5,64,16,6,2,17,2,0,57,5,2,2,.241,.316,.386,.701,.324,87.8,0.73,-0.58,2002-07-30,10056
203,김주현,21롯DH,8,17,16,1,4,0,0,0,4,0,0,0,1,0,0,6,0,0,0,.250,.294,.250,.544,.269,51.5,-0.06,-0.34,1993-12-21,10057
117,김주형,21키SS,36,70,50,5,9,3,0,0,12,5,1,0,4,13,0,15,0,3,0,.180,.388,.240,.628,.324,86.2,0.30,0.13,1996-03-05,10058
174,김준완,21NRF,13,14,12,3,2,0,1,0,4,1,0,0,2,0,0,0,0,0,0,.167,.286,.333,.619,.292,63.3,-0.00,-0.08,1991-01-20,10059
109,김준태,21롯KC,58,149,128,17,25,5,0,4,42,15,0,0,18,1,0,40,3,0,2,.195,.295,.328,.623,.297,69.2,0.37,-0.75,1994-07-31,10060
275,김지수,21한RF,11,25,24,0,2,1,0,0,3,0,0,0,1,0,0,14,0,0,0,.083,.120,.125,.245,.121,-45.5,-0.38,-0.30,1996-10-29,10061
73,김지찬,21삼SS,120,336,296,50,81,6,0,1,90,26,23,4,27,0,0,31,0,10,3,.274,.331,.304,.635,.300,73.4,0.90,0.08,2001-03-08,10062
105,김찬형,21NS2B,88,161,132,20,30,7,0,2,43,7,0,0,16,4,0,32,1,9,0,.227,.329,.326,.655,.301,72.6,0.41,0.02,1997-12-29,10063
286,김창평,21SLF,40,28,25,6,2,0,0,0,2,1,2,1,1,0,0,6,0,2,0,.080,.115,.080,.195,.095,-63.3,-0.47,-0.20,2000-06-14,10064
91,김태군,21NC,102,276,232,23,51,7,0,7,79,24,0,1,21,11,0,30,4,9,3,.220,.311,.341,.651,.301,72.8,0.63,-0.39,1989-12-30,10065
171,김태균,21한1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1982-05-29,10066
46,김태연,21한3B,53,220,176,29,53,12,0,3,74,34,5,3,34,5,0,44,4,0,5,.301,.418,.420,.839,.397,138.8,1.91,1.99,1997-06-10,10067
90,김태진,21K3B,99,414,381,43,105,12,5,1,130,36,8,5,23,0,1,64,7,6,4,.276,.314,.341,.655,.305,76.0,0.64,-0.62,1995-10-07,10068
249,김태훈,21KRF,44,91,87,6,20,4,1,1,29,6,1,0,2,1,0,19,1,1,0,.230,.256,.333,.589,.271,52.0,-0.22,0.21,1996-03-31,10069
63,김헌곤,21삼LF,118,364,317,38,89,8,2,4,113,27,5,4,34,5,0,46,9,3,5,.281,.355,.356,.711,.338,98.1,1.14,-1.03,1988-11-09,10070
256,김현민,21한DH,5,12,12,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,.083,.083,.083,.167,.080,-72.6,-0.26,-0.15,2000-02-03,10071
23,김현수,21LLF,140,595,506,70,144,23,1,17,220,97,3,0,77,3,5,42,7,0,9,.285,.377,.435,.811,.375,128.3,3.31,3.02,1988-01-12,10072
193,김현준,21삼RF,13,4,4,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.250,.250,.250,.500,.240,33.2,-0.05,-0.01,2002-10-11,10073
9,김혜성,21키SS,144,634,559,99,170,20,3,3,205,66,46,4,64,1,3,97,8,0,10,.304,.371,.367,.737,.351,106.2,4.73,0.99,1999-01-27,10074
110,김호령,21KCF,62,154,130,16,27,2,0,4,41,15,4,1,16,6,0,44,2,2,0,.208,.322,.315,.638,.308,77.9,0.36,-0.97,1992-04-30,10075
