,이름,count
1,김재웅,1.0
3,홍상삼,3.0
4,유민상,1.0
5,김진호,1.0
6,양의지,2.0
7,강재민,4.0
8,최지훈,1.0
9,박세웅,7.0
10,장지훈,6.0
11,주권,5.0
12,이태양,7.0
13,고우석,10.0
14,쿠에바스,4.0
15,백정현,6.0
16,김진욱,5.0
17,김현수,7.0
18,최용준,1.0
19,강진성,3.0
20,김원중,6.0
21,윤중현,2.0
22,카펜터,10.0
23,이대은,2.0
24,한석현,1.0
25,이정용,4.0
26,루친스키,6.0
27,프랑코,7.0
28,원종현,5.0
29,신민혁,6.0
30,최원준,9.0
31,정해영,7.0
32,김범수,6.0
33,이재학,3.0
34,노성호,3.0
35,요키시,8.0
36,파슨스,3.0
37,스트레일리,7.0
38,구승민,3.0
39,김진성,4.0
40,김영규,4.0
41,이민우,6.0
42,박준영,4.0
43,송명기,6.0
44,윤대경,4.0
45,정찬헌,5.0
46,강동연,2.0
47,임정호,1.0
48,김인태,2.0
49,김동혁,5.0
50,김태훈,6.0
51,고영창,2.0
52,김택형,2.0
53,이영하,8.0
54,터커,2.0
55,박정수,2.0
56,박찬호,2.0
57,켈리,6.0
58,홍건희,4.0
59,김대우,6.0
60,손아섭,2.0
61,김민성,3.0
62,최금강,2.0
63,황재균,2.0
64,김정빈,2.0
65,강태경,1.0
66,안우진,3.0
67,김민우,6.0
68,박진형,1.0
69,최준용,1.0
70,김혜성,3.0
71,원태인,5.0
72,박준표,5.0
73,주현상,3.0
74,최민준,5.0
75,박동원,3.0
76,안치홍,1.0
77,서준원,2.0
78,마차도,1.0
79,정우람,7.0
80,이용찬,3.0
81,최정,3.0
82,나균안,2.0
83,배재준,2.0
84,로맥,3.0
85,장현식,5.0
86,박민호,1.0
87,홍성민,1.0
88,멩덴,4.0
89,김재성,1.0
90,장시환,8.0
91,허경민,2.0
92,한동희,2.0
93,최채흥,8.0
94,박병호,3.0
95,장민기,1.0
96,박치국,1.0
97,오원석,6.0
98,이승헌,3.0
99,이승민,4.0
100,노경은,6.0
101,소형준,6.0
102,브룩스,2.0
103,배제성,3.0
104,오승환,2.0
105,이승재,3.0
106,김유신,5.0
107,이승현,2.0
108,다카하시,1.0
109,박진태,3.0
110,김선빈,1.0
111,우규민,3.0
112,김상수,5.0
113,이호연,1.0
114,김기중,2.0
115,힐리,1.0
116,김태진,4.0
117,한승혁,1.0
118,임종찬,2.0
119,김민규,2.0
120,류지혁,1.0
121,페르난데스,3.0
122,유한준,2.0
123,김지수,1.0
124,박경수,2.0
125,이성곤,1.0
126,몽고메리,3.0
127,심창민,1.0
128,노수광,2.0
129,이인복,1.0
130,오지환,1.0
131,임찬규,3.0
132,이상민,1.0
133,박주홍,1.0
134,페레즈,2.0
135,안중열,1.0
136,강백호,2.0
137,로켓,5.0
138,임창민,1.0
139,임기영,3.0
140,킹엄,3.0
141,최영환,3.0
142,송재영,1.0
143,곽빈,3.0
144,알테어,3.0
145,정훈,1.0
146,하주석,5.0
147,정우영,3.0
148,정진호,1.0
149,최정원,1.0
150,오재원,1.0
151,폰트,3.0
152,차우찬,1.0
153,김민하,1.0
154,강윤구,1.0
155,배동현,3.0
156,홍창기,1.0
157,김재윤,5.0
158,호잉,3.0
159,이보근,2.0
160,박해민,2.0
161,김성민,3.0
162,서진용,4.0
163,최원태,9.0
164,데스파이네,4.0
165,이민호,6.0
166,배정대,2.0
167,한유섬,2.0
168,이학주,1.0
169,이강준,1.0
170,김현준,1.0
171,이준영,1.0
172,신정락,2.0
173,손정욱,1.0
174,이의리,1.0
175,채은성,1.0
176,정수민,1.0
177,유희관,5.0
178,조한민,1.0
179,김헌곤,1.0
180,최지광,1.0
181,임현준,2.0
182,박시영,2.0
183,김민혁,1.0
184,윤호솔,1.0
185,장재영,3.0
186,김민수,3.0
187,이정현,1.0
188,브리검,2.0
189,이건욱,3.0
190,서건창,2.0
191,황영국,1.0
192,전준우,2.0
193,고종욱,1.0
194,박세혁,1.0
195,김선기,4.0
196,알몬테,1.0
197,뷰캐넌,3.0
198,구준범,1.0
199,김진영,1.0
200,진명호,2.0
201,최재훈,2.0
202,이창진,2.0
203,라모스,1.0
204,유원상,1.0
205,수아레즈,3.0
206,고영표,3.0
207,가빌리오,4.0
208,이해창,1.0
209,조상우,4.0
210,김정인,2.0
211,조영우,3.0
212,강민호,2.0
213,이승호,3.0
214,미란다,2.0
215,전병우,1.0
216,양석환,1.0
217,김기탁,1.0
218,라이블리,1.0
219,허윤동,1.0
220,양창섭,1.0
221,송우현,1.0
222,김윤식,3.0
223,최형우,1.0
224,박석민,2.0
225,장승현,1.0
226,크레익,1.0
227,최주환,1.0
228,정수빈,1.0
229,김명신,2.0
230,장성우,1.0
231,김웅빈,2.0
232,김재호,1.0
233,김도규,2.0
234,박종기,4.0
235,박건우,1.0
236,피렐라,3.0
237,오주원,1.0
238,이지영,1.0
239,남지민,1.0
240,문승원,1.0
241,김이환,1.0
242,이승관,1.0
243,이형종,3.0
244,유강남,4.0
245,김대유,2.0
246,강승호,2.0
247,손주영,2.0
248,박계범,2.0
249,이승진,2.0
250,김재환,2.0
251,이천웅,2.0
252,노시환,2.0
253,나성범,1.0
254,문경찬,1.0
255,이흥련,1.0
256,차명진,1.0
257,조제영,1.0
258,추신수,1.0
259,이형범,1.0
260,한현희,1.0
261,진해수,1.0
262,김성진,1.0
263,이용규,1.0
264,양선률,1.0
265,장필준,1.0
266,안재석,1.0
267,윤명준,1.0
268,지시완,1.0
