,팀,G,승,패,무,승차,승률,타격,주루,수비,선발,구원
0,KT,148,80,59,9,-,0.576,0.12,0.55,1.56,4.67,3.15
1,삼성,146,76,61,9,3.0,0.555,0.26,0.30,0.01,4.58,-1.86
2,LG,147,73,60,14,4.0,0.549,-0.77,0.65,2.71,2.71,7.00
3,두산,155,76,71,8,8.0,0.517,4.81,-0.32,-1.45,1.55,2.75
4,키움,146,71,68,7,9.0,0.511,-0.44,1.12,0.91,0.15,-3.13
5,SSG,144,66,64,14,9.5,0.508,5.77,0.47,0.87,-6.53,0.00
6,NC,144,67,68,9,11.0,0.496,2.71,-0.23,-0.96,1.16,-1.14
7,롯데,144,65,71,8,13.5,0.478,3.58,-0.93,-3.31,-2.95,-3.13
8,KIA,144,58,76,10,19.5,0.433,-9.40,-1.38,-2.18,-2.34,0.51
9,한화,144,49,83,12,27.5,0.371,-8.78,-0.63,2.08,-2.61,-4.19
