,날짜,best,best_birth,worst,worst_birth
1,10-02,서건창,1989-08-22,정찬헌,1990-01-26
2,10-02,추신수,1982-07-13,주권,1995-05-31
3,10-02,김선빈,1989-12-18,정우람,1985-06-01
4,10-02,알테어,1991-01-14,홍성민,1989-07-15
0,10-01,미란다,1989-01-10,김민성,1988-12-17
1,10-01,김민우,1995-07-25,원태인,2000-04-06
2,10-01,다카하시,1997-01-23,최원태,1997-01-07
3,10-01,한동희,1999-06-01,유한준,1981-07-01
4,10-01,김택형,1996-10-10,원종현,1987-07-31
5,10-01,한동희,1999-06-01,이대은,1989-03-23
0,09-30,정수빈,1990-10-07,로켓,1994-05-03
1,09-30,뷰캐넌,1989-05-11,킹엄,1991-11-08
2,09-30,안우진,1999-08-30,이창진,1991-03-04
3,09-30,스트레일리,1988-12-01,배제성,1996-09-29
4,09-30,루친스키,1988-12-30,이태양,1990-07-03
0,09-29,곽빈,1999-05-28,데스파이네,1987-04-04
1,09-29,나성범,1989-10-03,이민우,1993-02-09
0,09-28,안치홍,1990-07-02,김도규,1998-07-11
1,09-28,소형준,2001-09-16,박종기,1995-01-21
2,09-28,요키시,1989-07-29,페레즈,1991-03-26
3,09-28,노진혁,1989-07-15,박진태,1994-10-19
4,09-28,최정,1987-02-28,노성호,1989-10-22
0,09-28,안치홍,1990-07-02,김도규,1998-07-11
1,09-28,소형준,2001-09-16,박종기,1995-01-21
2,09-28,요키시,1989-07-29,페레즈,1991-03-26
3,09-28,노진혁,1989-07-15,박진태,1994-10-19
4,09-28,최정,1987-02-28,노성호,1989-10-22
0,09-26,페르난데스,1988-04-27,김민우,1995-07-25
1,09-26,박동원,1990-04-07,프랑코,1992-12-29
2,09-26,켈리,1989-10-04,호잉,1989-05-18
3,09-26,최채흥,1995-01-22,이용찬,1989-01-02
4,09-26,멩덴,1993-02-19,최정,1987-02-28
0,09-25,오동욱,2001-02-01,박계범,1996-01-11
1,09-25,박병호,1986-07-10,김선기,1991-09-01
2,09-25,고영표,1991-09-16,서건창,1989-08-22
3,09-25,원태인,2000-04-06,최정원,2000-06-24
4,09-25,다카하시,1997-01-23,최민준,1999-06-11
0,09-24,유강남,1992-07-15,뷰캐넌,1989-05-11
1,09-24,최원태,1997-01-07,이용찬,1989-01-02
2,09-24,이대호,1982-06-21,이강준,2001-12-14
